MP NAME,WORK,CATEGORY,STATE,CONSTITUENCY,IDA,CITY,WARD,BLOCK,VILLAGE,RECOMMENDED DATE,ALLOCATION AMOUNT,IDA APPROVAL,STATUS,HOUSE
Bache BN Gowda,NA - Providing drains and gutters for public drainage,Normal/Others,Karnataka,CHIKBALLAPUR,Deputy Commissioner Bangalore Rural_IDA,,,Hosakote,Hosakote,2024-01-01,250000,Action Pending,Unsanctioned,Lok Sabha
Bache BN Gowda,NA - Providing drains and gutters for public drainage,Normal/Others,Karnataka,CHIKBALLAPUR,Deputy Commissioner Bangalore Rural_IDA,,,Hosakote,Hosakote,2024-01-01,250000,Action Pending,Unsanctioned,Lok Sabha
Bache BN Gowda,"NA - Construction of roads, approach roads, link roads and pathways",Normal/Others,Karnataka,CHIKBALLAPUR,Deputy Commissioner Bangalore Rural_IDA,,,Hosakote,Hosakote,2024-01-01,250000,Action Pending,Unsanctioned,Lok Sabha
Bache BN Gowda,"NA - Construction of roads, approach roads, link roads and pathways",Normal/Others,Karnataka,CHIKBALLAPUR,Deputy Commissioner Bangalore Rural_IDA,,,Hosakote,Hosakote,2024-01-01,250000,Action Pending,Unsanctioned,Lok Sabha
Bache BN Gowda,"NA - Construction of roads, approach roads, link roads and pathways",Normal/Others,Karnataka,CHIKBALLAPUR,Deputy Commissioner Bangalore Rural_IDA,,,Hosakote,Hosakote,2024-01-01,250000,Action Pending,Unsanctioned,Lok Sabha
Bache BN Gowda,"NA - Construction of roads, approach roads, link roads and pathways",Normal/Others,Karnataka,CHIKBALLAPUR,Deputy Commissioner Bangalore Rural_IDA,,,Hosakote,Hosakote,2024-01-01,250000,Action Pending,Unsanctioned,Lok Sabha
Bache BN Gowda,"NA - Construction of roads, approach roads, link roads and pathways",Normal/Others,Karnataka,CHIKBALLAPUR,Deputy Commissioner Bangalore Rural_IDA,,,Hosakote,Hosakote,2024-01-01,250000,Action Pending,Unsanctioned,Lok Sabha
Bache BN Gowda,NA - Providing drains and gutters for public drainage,Normal/Others,Karnataka,CHIKBALLAPUR,Deputy Commissioner Bangalore Rural_IDA,,,Hosakote,Hosakote,2024-01-01,250000,Action Pending,Unsanctioned,Lok Sabha
Bache BN Gowda,NA - Providing drains and gutters for public drainage,Normal/Others,Karnataka,CHIKBALLAPUR,Deputy Commissioner Bangalore Rural_IDA,,,Hosakote,Hosakote,2024-01-01,250000,Action Pending,Unsanctioned,Lok Sabha
Bache BN Gowda,"NA - Construction of roads, approach roads, link roads and pathways",Normal/Others,Karnataka,CHIKBALLAPUR,Deputy Commissioner Bangalore Rural_IDA,,,Hosakote,Hosakote,2024-01-01,250000,Action Pending,Unsanctioned,Lok Sabha
Bache BN Gowda,"NA - Construction of roads, approach roads, link roads and pathways",Normal/Others,Karnataka,CHIKBALLAPUR,Deputy Commissioner Bangalore Rural_IDA,,,Hosakote,Hosakote,2024-01-01,250000,Action Pending,Unsanctioned,Lok Sabha
Bache BN Gowda,NA - Providing drains and gutters for public drainage,Normal/Others,Karnataka,CHIKBALLAPUR,Deputy Commissioner Bangalore Rural_IDA,,,Hosakote,Hosakote,2024-01-01,250000,Action Pending,Unsanctioned,Lok Sabha
Bache BN Gowda,NA - Providing drains and gutters for public drainage,Normal/Others,Karnataka,CHIKBALLAPUR,Deputy Commissioner Bangalore Rural_IDA,,,Hosakote,Hosakote,2024-01-01,250000,Action Pending,Unsanctioned,Lok Sabha
Bache BN Gowda,"NA - Construction of roads, approach roads, link roads and pathways",Normal/Others,Karnataka,CHIKBALLAPUR,Deputy Commissioner Bangalore Rural_IDA,,,Hosakote,Hosakote,2024-01-01,250000,Action Pending,Unsanctioned,Lok Sabha
Bache BN Gowda,"NA - Construction of roads, approach roads, link roads and pathways",Normal/Others,Karnataka,CHIKBALLAPUR,Deputy Commissioner Bangalore Rural_IDA,,,Hosakote,Hosakote,2024-01-01,250000,Action Pending,Unsanctioned,Lok Sabha
Bache BN Gowda,NA - Providing drains and gutters for public drainage,Normal/Others,Karnataka,CHIKBALLAPUR,Deputy Commissioner Bangalore Rural_IDA,,,Hosakote,Hosakote,2024-01-01,250000,Action Pending,Unsanctioned,Lok Sabha
Bache BN Gowda,NA - Providing drains and gutters for public drainage,Normal/Others,Karnataka,CHIKBALLAPUR,Deputy Commissioner Bangalore Rural_IDA,,,Hosakote,Hosakote,2024-01-01,250000,Action Pending,Unsanctioned,Lok Sabha
Bache BN Gowda,NA - Providing drains and gutters for public drainage,Normal/Others,Karnataka,CHIKBALLAPUR,Deputy Commissioner Bangalore Rural_IDA,,,Hosakote,Hosakote,2024-01-01,250000,Action Pending,Unsanctioned,Lok Sabha
Bache BN Gowda,NA - Providing drains and gutters for public drainage,Normal/Others,Karnataka,CHIKBALLAPUR,Deputy Commissioner Bangalore Rural_IDA,,,Hosakote,Hosakote,2024-01-01,250000,Action Pending,Unsanctioned,Lok Sabha
Bache BN Gowda,NA - Providing drains and gutters for public drainage,Normal/Others,Karnataka,CHIKBALLAPUR,Deputy Commissioner Bangalore Rural_IDA,,,Hosakote,Hosakote,2024-01-01,250000,Action Pending,Unsanctioned,Lok Sabha
Bache BN Gowda,"NA - Construction of roads, approach roads, link roads and pathways",Normal/Others,Karnataka,CHIKBALLAPUR,Deputy Commissioner Bangalore Rural_IDA,,,Hosakote,Hosakote,2024-01-01,250000,Action Pending,Unsanctioned,Lok Sabha
Bache BN Gowda,"NA - Construction of roads, approach roads, link roads and pathways",Normal/Others,Karnataka,CHIKBALLAPUR,Deputy Commissioner Bangalore Rural_IDA,,,Hosakote,Hosakote,2024-01-01,250000,Action Pending,Unsanctioned,Lok Sabha
Bache BN Gowda,"NA - Construction of roads, approach roads, link roads and pathways",Normal/Others,Karnataka,CHIKBALLAPUR,Deputy Commissioner Bangalore Rural_IDA,,,Hosakote,Hosakote,2024-01-01,250000,Action Pending,Unsanctioned,Lok Sabha
Bache BN Gowda,"NA - Construction of roads, approach roads, link roads and pathways",Normal/Others,Karnataka,CHIKBALLAPUR,Deputy Commissioner Bangalore Rural_IDA,,,Hosakote,Hosakote,2024-01-01,250000,Action Pending,Unsanctioned,Lok Sabha
Bache BN Gowda,"NA - Construction of roads, approach roads, link roads and pathways",Normal/Others,Karnataka,CHIKBALLAPUR,Deputy Commissioner Bangalore Rural_IDA,,,Hosakote,Hosakote,2024-01-01,250000,Action Pending,Unsanctioned,Lok Sabha
Bache BN Gowda,NA - Providing drains and gutters for public drainage,Normal/Others,Karnataka,CHIKBALLAPUR,Deputy Commissioner Bangalore Rural_IDA,,,Hosakote,Hosakote,2024-01-01,250000,Action Pending,Unsanctioned,Lok Sabha
Bache BN Gowda,NA - Providing drains and gutters for public drainage,Normal/Others,Karnataka,CHIKBALLAPUR,Deputy Commissioner Bangalore Rural_IDA,,,Hosakote,Hosakote,2024-01-01,250000,Action Pending,Unsanctioned,Lok Sabha
